ID;code;name;continent
a9fdc051-f4c9-4ce7-918d-62c7aefb1e7a;LCA;Saint Lucia;North America
c9074ed7-72d8-4b7e-8532-72558726ab6f;MAF;Saint Martin;North America
10e8c781-6c90-4043-a4be-ccffafabf875;SPM;Saint Pierre and Miquelon;North America
dc8272a7-6a56-43b4-9892-84c4026bde5a;VCT;Saint Vincent and the Grenadines;North America
670a558b-534b-41eb-9ddc-bfed133bba6a;WSM;Samoa;Oceania
09bcd47a-dcff-43a1-bcab-5fd43168dd3c;SMR;San Marino;Europe
a3218888-241a-4e0b-990b-e1da27bd6e4e;STP;Sao Tome and Principe;Africa
5b8d9087-1481-480d-8bd0-af1ad9c0b11d;SAU;Saudi Arabia;Asia
09cf4cd7-e665-47e3-9ee6-84b9ff7a6f59;SEN;Senegal;Africa
e25b6ca0-d9d1-4294-b4fd-1fe99e12a93a;SRB;Serbia;Europe
106885c3-97d4-4c5f-b805-ab3f58d181af;SYC;Seychelles;Africa
0e74591e-a6cc-4414-9590-5cd0602e1539;SLE;Sierra Leone;Africa
5de28f51-a63d-4ef1-9f9e-0b5f8f8cf90d;SGP;Singapore;Asia
7ec19103-a626-401b-8b00-a192d87cdffd;SXM;Sint Maarten;North America
f1cf5443-4f9b-41ba-91d5-6e09df3aa1b2;SVK;Slovakia;Europe
4a902f52-9579-461c-826c-5d0bafce7691;SVN;Slovenia;Europe
6a0c9bfd-5507-444e-a644-80fb22a4abb4;SLB;Solomon Islands;Oceania
44f86a4b-c0d2-4776-a0c8-f9b13424624c;SOM;Somalia;Africa
3a5f0cd5-e926-4d78-817f-75424ca26ae5;ZAF;South Africa;Africa
49623c78-9fba-4b55-8977-cd185d1e1de5;KOR;South Korea;Asia
94d606b0-251f-4698-90bb-e267545d966d;SSD;South Sudan;Africa
efc04393-a433-4cd3-ab96-6bc65b22bdb6;ESP;Spain;Europe
c0e24040-800e-4325-8a57-1f58f3b1b522;LKA;Sri Lanka;Asia
2d27dd1c-4db0-40a8-8a55-b5653f337c1f;SDN;Sudan;Africa
c3af0b96-65d9-4ece-9c64-2dad20017a25;SUR;Suriname;South America
5acf9303-5e24-477f-a1e4-4392cd3d1c96;SWE;Sweden;Europe
c5e81184-9894-4cd0-9d21-7a409fbaccb3;CHE;Switzerland;Europe
d3a370d6-1421-475d-8cd3-84a318c3b3aa;SYR;Syria;Asia
ec4e7677-3545-410b-8124-44fb84a58d0e;TWN;Taiwan;Asia
a7f41ca8-0c31-40d1-8793-5bb3d0ee6075;TJK;Tajikistan;Asia
57c88b45-9e51-4b97-8e9d-8fe3b4fdbb00;TZA;Tanzania;Africa
71b0c4df-f219-4eec-8bd8-62545910e20f;THA;Thailand;Asia
cfd3e97e-0246-42e2-8950-c9ba6261375c;TLS;Timor-Leste;Asia
a16f31c3-e5d6-4bc6-af97-254e6e50e772;TGO;Togo;Africa
5a81b316-f5c2-4ccb-8ade-5f61d6a6e4e6;TKL;Tokelau;Oceania
c318234b-3bbb-416f-89c2-367cac41ae60;TON;Tonga;Oceania
e8825c1a-707e-4454-8828-18c930aa8f66;TTO;Trinidad and Tobago;North America
716ddf7c-cc9c-41d2-a6a8-10e57b455b13;TUN;Tunisia;Africa
785cb915-ec60-4bc8-bc17-89ab6ca5429e;TUR;Turkey;Asia
526997d1-e008-4b5a-a1c2-ed9ee901f4b3;TKM;Turkmenistan;Asia
dc0e8d26-a39a-42f0-8411-2b14c42234b5;TCA;Turks and Caicos Islands;North America
6f9933cf-faf9-4b1a-9693-a135a3f674f8;TUV;Tuvalu;Oceania
b8d45673-253c-4844-a655-f08dfc28a8b3;UGA;Uganda;Africa
36ec312d-418f-4dbc-9fc2-c166d583f202;UKR;Ukraine;Europe
1c689365-d061-4a4b-a5b5-26759cc702fb;ARE;United Arab Emirates;Asia
b4d313ef-5dc8-4062-856b-a87f801132f4;GBR;United Kingdom;Europe
3aedf465-5b98-4389-9aea-20cc2880cad1;USA;United States;North America
0c98cef2-1f5a-454f-82ab-a617d9850cc4;VIR;United States Virgin Islands;North America
037e2788-ebf1-4f45-9bb5-9d9443187265;URY;Uruguay;South America
f02889b3-b143-4e63-bd44-53409b6ee121;UZB;Uzbekistan;Asia
def29d5c-ab9e-41da-89e2-1935f72775b8;VUT;Vanuatu;Oceania
4d54c6f0-f297-43f5-a149-8ba6ae9af29e;VAT;Vatican City;Europe
8bbfd855-0a94-4f1c-b295-f4b8bb143f56;VEN;Venezuela;South America
efc01b65-1fe9-4319-9ad7-abd429232538;VNM;Vietnam;Asia
2d01ff2b-4686-4847-b49c-d603988db002;WLF;Wallis and Futuna;Oceania
c4dec674-3ea4-4a23-bb46-781fb29c6805;ESH;Western Sahara;Africa
2cf1a7a4-34ce-4825-9d09-6f1976eb391d;YEM;Yemen;Asia
7f941de9-b276-4f42-a885-803ed53693a8;ZMB;Zambia;Africa
e26a2bd0-1184-4886-b30e-895103882c82;ZWE;Zimbabwe;Africa
